source,text,date,compound,positive,neutral,negative,tweets ago
CBS,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… ,2018-07-23 21:30:33+00:00,0.8293,0.354,0.646,0.0,6
CBS,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: ,2018-07-22 01:56:13+00:00,0.128,0.077,0.923,0.0,7
CBS,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: ,2018-07-21 00:55:28+00:00,-0.296,0.0,0.885,0.115,8
CBS,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,2018-07-21 00:19:12+00:00,-0.296,0.0,0.891,0.109,9
CBS,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower ",2018-07-21 00:10:00+00:00,-0.7964,0.0,0.724,0.276,10
CBS,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… ,2018-07-20 23:44:54+00:00,-0.6597,0.0,0.812,0.188,11
CBS,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",2018-07-20 22:29:36+00:00,0.3182,0.095,0.905,0.0,12
CBS,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! ,2018-07-20 21:39:09+00:00,0.0,0.0,1.0,0.0,13
CBS,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… ",2018-07-20 15:08:23+00:00,0.0,0.0,1.0,0.0,14
CBS,🤰‍ #WorldEmojiDay,2018-07-17 17:55:25+00:00,0.0,0.0,1.0,0.0,15
CBS,✔️ #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0,16
CBS,‍ #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0,17
